date,spot,vol_21d,oos,sigma_xgb,price_xgb,sigma_vix_proxy,price_vix_proxy,price_BSM
2019-12-18,138.0399932861328,0.1488092297997673,0.0,0.20401977002620697,21.985649730045644,0.16072799682617187,18.413327641578135,17.482563616441688
2019-12-26,139.0399932861328,0.1492776666339917,0.0,0.2116788625717163,22.34525792848413,0.16053276062011718,17.982490852907837,17.069110381442222
2020-01-02,141.08999633789062,0.1526249086612173,0.0,0.2100124955177307,21.728969954377597,0.16135652542114257,17.373948322282097,16.615278984335916
2020-01-08,136.94000244140625,0.1596489992201663,0.0,0.2226410061120987,23.92175744023529,0.16178905487060546,18.992261673010788,18.829698023973798
2020-01-14,138.8000030517578,0.1385242319448513,0.0,0.2226410061120987,23.37756029717204,0.16078556060791016,18.1030267094739,16.336473632423633
2020-01-22,136.67999267578125,0.1487977375518739,0.0,0.2226410061120987,23.996459639298322,0.16093070983886718,19.038838110647433,18.142954382239083
2020-01-28,134.42999267578125,0.1814632073855655,0.0,0.2755628824234009,29.11237146215251,0.1844559669494629,21.828025095779935,21.608293053509428
2020-02-03,133.3699951171875,0.2017591065427757,0.0,0.2971402108669281,31.220324292896876,0.19502910614013672,23.103375021736554,23.59818674068125
2020-02-07,137.1699981689453,0.1988318931652703,0.0,0.32357385754585266,32.72217890982411,0.1808280563354492,20.370861295645547,21.839172471995596
2020-02-14,137.4600067138672,0.1817871480561799,0.0,0.37175798416137695,37.04155932352133,0.16333681106567383,18.84954864798697,20.321213164472
2020-02-21,135.80999755859375,0.1935386154633184,0.0,0.3061025142669678,31.41423326834769,0.19973440170288087,22.416791548683243,21.925630983618802
2020-02-27,121.37000274658205,0.2770543718287417,0.0,0.6600340604782104,63.42179023182351,0.2723321723937988,34.647765149682456,34.926417236422566
2020-03-05,113.97000122070312,0.4001373895509824,0.0,0.728807806968689,70.20726653027307,0.2775163269042969,40.6549798451546,47.13928722641481
2020-03-11,95.95999908447266,0.7054768602079647,0.0,0.730862557888031,74.65172717874994,0.27907867431640626,55.791889891118856,73.18670258602782
2020-03-17,93.76000213623048,1.141222742465119,0.0,0.7016767263412476,74.05494272938385,0.2798196792602539,58.1396834073044,100.33105708875516
2020-03-23,79.02999877929688,1.1879147461595383,0.0,0.6711617708206177,80.22630188580771,0.2798196792602539,72.36927168245614,104.20814585064518
2020-03-30,93.5,1.3363980389246275,0.0,0.4592527151107788,62.89680322032636,0.2787948799133301,58.46820322833429,112.40025900406252
2020-04-03,84.05000305175781,1.3353956812517986,0.0,0.45545145869255066,69.89846138445203,0.27740596771240233,67.39870020018661,111.7706830811542
2020-04-09,102.76000213623048,1.2640414622864469,0.0,0.40686875581741333,54.380899699853344,0.2747208023071289,49.94039826760256,108.6984979326731
2020-04-16,87.33000183105469,0.9329137801958404,0.0,0.6020945906639099,72.43920360339942,0.27653844833374025,64.20212843645768,88.91888940633392
2020-04-23,89.38999938964844,0.7954023635816653,0.0,0.4803885519504547,66.54673523535652,0.27648727416992186,62.29561224620895,80.84306386563058
2020-04-29,97.86000061035156,0.7176412722512435,0.0,0.39033713936805725,57.35605735247087,0.2698037528991699,54.39424807768749,73.58418105567463
2020-05-05,92.0,0.647481819843055,0.0,0.4044741988182068,62.23329155303159,0.27780441284179686,59.83264023340972,72.04952344448492
